iter	MAE	RMSE
0	0.4103333141	0.5347150782
1	0.3966889121	0.5166646652
2	0.383684627	0.4998580575
3	0.3722041757	0.4849050876
4	0.3608943012	0.4703086015
5	0.3508329863	0.4576916318
6	0.3409391982	0.4444561049
7	0.3313797531	0.4318992653
8	0.3232884188	0.4213553939
9	0.3149943351	0.4107439166
10	0.3073643755	0.4005013351
11	0.2998147253	0.3904821153
12	0.2912838179	0.3800472323
13	0.2828515206	0.3699639906
14	0.2747715971	0.3599186651
15	0.2677246398	0.3511410363
16	0.2606756998	0.3424170844
17	0.2536028119	0.3335520742
18	0.2470873967	0.3254934528
19	0.241611736	0.3189140824
20	0.2359943683	0.3118771443
21	0.2305312401	0.3052152384
22	0.2253196068	0.298633143
23	0.2204088433	0.292617583
24	0.2155725486	0.2866160678
25	0.2109545355	0.2810772283
26	0.2063747349	0.2752479085
27	0.2034000741	0.2717504169
28	0.1995347679	0.2669043993
29	0.1958074917	0.2620738871
30	0.1923442766	0.2576024228
31	0.1896883647	0.2541500446
32	0.1870350428	0.2507230204
33	0.1840856786	0.2468523449
34	0.1816560467	0.2435529797
35	0.1789788801	0.2401968125
36	0.1767433554	0.237230967
37	0.1751124782	0.2351700429
38	0.1732173059	0.2327665725
39	0.1712203237	0.2302246074
40	0.1697030938	0.2283662448
41	0.1682176949	0.2263217661
42	0.1664817142	0.2239503465
43	0.1651749443	0.2222398483
44	0.1638337162	0.220497222
45	0.1625053813	0.2188841466
46	0.1609863366	0.217035921
47	0.1597620613	0.2154250354
48	0.1585516325	0.2137553579
49	0.1573529056	0.2123680897
50	0.1562770844	0.2110815927
51	0.1551377249	0.2096281581
52	0.1539904789	0.2081928963
53	0.152777464	0.2065475846
54	0.1521023477	0.2056932007
55	0.1513721602	0.2047191816
56	0.1505807085	0.2037009119
57	0.1495706405	0.202418803
58	0.1487461755	0.2013108574
59	0.1481836179	0.2006810571
60	0.1475572421	0.1999156515
61	0.1465733323	0.1986531661
62	0.1459604234	0.1980289346
63	0.1455289774	0.1973632806
64	0.1450429317	0.1967296382
65	0.1446236265	0.196285701
66	0.1442386768	0.1957779407
67	0.1435856464	0.1949401964
68	0.1430509339	0.1942866104
69	0.1423334962	0.1934731798
70	0.1419146513	0.1928848465
71	0.1415869742	0.192414427
72	0.1411132349	0.1917872713
73	0.1407742238	0.191276879
74	0.1404104516	0.190702511
75	0.139889032	0.1900931106
76	0.1392632796	0.1892084146
77	0.1385746768	0.188265731
78	0.1381391883	0.1877277907
79	0.1378367442	0.1873482429
80	0.1375077307	0.1869277429
81	0.137417104	0.186870391
82	0.1373527713	0.1868153127
83	0.1369137	0.1863151094
84	0.1366387282	0.1859565009
85	0.1362193112	0.1854165372
86	0.1360505482	0.1851984481
87	0.1358337388	0.1849174282
88	0.1354484332	0.1844267216
89	0.1351904039	0.1840287351
90	0.1350237331	0.1837595488
91	0.1346269634	0.1832026273
92	0.1343751443	0.1828881455
93	0.1339408782	0.1823840068
94	0.1337690659	0.1821668387
95	0.1335537023	0.1819049508
96	0.1333222681	0.1815802697
97	0.133018173	0.1811309735
98	0.1328071483	0.1808452263
99	0.1326544387	0.1807137004
100	0.1324971948	0.1804119079
101	0.1322158862	0.1800844471
102	0.1318061332	0.179476042
103	0.1314504646	0.1790358043
104	0.1310779088	0.178553318
105	0.1307818317	0.1781153355
106	0.1303921964	0.1775942108
107	0.1302134884	0.1773668158
108	0.1299057821	0.177039022
109	0.1297759755	0.1768735968
110	0.129375562	0.1762376943
111	0.1291890859	0.1760288749
112	0.1289803149	0.1758169044
113	0.1287849864	0.1755627212
114	0.1286562823	0.1753436628
115	0.1283255443	0.1748379222
116	0.1281218971	0.1745603188
117	0.1278599855	0.1742849702
118	0.1276790453	0.1740830141
119	0.1274630215	0.1738418315
120	0.1273856358	0.173710727
121	0.1271892888	0.1733944247
122	0.1269959211	0.1730956179
123	0.1268412692	0.1729090893
124	0.1266431198	0.1726377217
125	0.1263719639	0.172240233
126	0.1262159271	0.1720752393
127	0.1261172642	0.1718977177
128	0.1258241684	0.1714888
129	0.1256715055	0.1712300348
130	0.125600124	0.1711653375
131	0.1254386978	0.1709623194
132	0.1252901634	0.1707464546
133	0.1249567425	0.1702965882
134	0.1248707458	0.1701597681
135	0.1248360481	0.1701159828
136	0.1247216396	0.1700040462
137	0.1246289425	0.1698588418
138	0.1245114671	0.1697163298
139	0.1243296279	0.1694665795
140	0.1241771812	0.169299284
141	0.1240448576	0.1691830942
142	0.1240261988	0.1691695486
143	0.123848133	0.1689495057
144	0.1237034056	0.1687829908
145	0.1235529063	0.1685508349
146	0.1234410914	0.1683742019
147	0.1233341485	0.1682348105
148	0.1230279956	0.1677688781
149	0.1227918575	0.1675477508
150	0.1226763239	0.1673576138
151	0.1225688823	0.1672448076
152	0.1223025795	0.1668379907
153	0.1221565972	0.166626748
154	0.1220191897	0.1664718141
155	0.121853505	0.1662101892
156	0.1217631177	0.16599141
157	0.121507665	0.1657191158
158	0.1213846655	0.1655433044
159	0.1213651452	0.1655213394
160	0.121142962	0.1651908807
161	0.1211268391	0.1651510839
162	0.1210535391	0.1650194467
163	0.1209398014	0.1648237411
164	0.1208269061	0.1646412896
165	0.1205632106	0.1642354662
166	0.1204114872	0.1639908972
167	0.1202916932	0.1638024476
168	0.1201802939	0.1636887669
169	0.12011965	0.1635678233
170	0.1199640458	0.16330009
171	0.1197551159	0.1629443954
172	0.1196491757	0.1627814429
173	0.1194522614	0.1624977785
174	0.1193729625	0.1623684453
175	0.119223048	0.1621713274
176	0.1189928038	0.1618491363
177	0.1188299226	0.1615950419
178	0.1184886747	0.1612036949
179	0.1183947103	0.1610513048
180	0.1181346286	0.1607536236
181	0.1179765922	0.1605341088
182	0.1178080024	0.1602747132
183	0.1177671415	0.1602295802
184	0.1177294773	0.1601798038
185	0.117706816	0.1601419639
186	0.1176246712	0.1600175334
187	0.1173957611	0.1597223478
188	0.1172968981	0.1595728099
189	0.1172511067	0.159490892
190	0.1169586921	0.1591067494
191	0.1168377941	0.1589143861
192	0.1166294568	0.1586073284
193	0.1166109726	0.1585866812
194	0.1164453164	0.1583127063
195	0.1162108487	0.1580597774
196	0.1159552273	0.1576805353
197	0.1158847389	0.1575733422
198	0.1158383014	0.1574884144
199	0.1157797097	0.1574129906
200	0.1157397827	0.1573362603
201	0.1155991699	0.1571864199
202	0.1154238926	0.1569337043
