iter	Passed	Remaining
0	197	197298
1	244	122109
2	321	106964
3	408	101759
4	456	90783
5	511	84669
6	591	83871
7	680	84381
8	722	79523
9	789	78208
10	831	74740
11	928	76442
12	1024	77777
13	1106	77922
14	1181	77600
15	1270	78156
16	1390	80394
17	1517	82798
18	1637	84529
19	1699	83298
20	1819	84824
21	1934	86017
22	2058	87424
23	2137	86932
24	2239	87354
25	2337	87581
26	2443	88071
27	2488	86374
28	2609	87359
29	2741	88649
30	2863	89506
31	2918	88277
32	3031	88834
33	3148	89448
34	3272	90217
35	3395	90915
36	3508	91312
37	3555	90001
38	3662	90252
39	3768	90453
40	3818	89322
41	3932	89688
42	4051	90179
43	4178	90788
44	4300	91258
45	4430	91890
46	4557	92410
47	4676	92746
48	4777	92723
49	4878	92683
50	4984	92757
51	5092	92845
52	5207	93047
53	5313	93083
54	5417	93090
55	5523	93113
56	5634	93209
57	5743	93289
58	5852	93336
59	5968	93507
60	6073	93492
61	6172	93390
62	6295	93640
63	6415	93829
64	6547	94181
65	6683	94588
66	6792	94582
67	6899	94564
68	7017	94685
69	7149	94988
70	7379	96556
71	7474	96331
72	7586	96333
73	7715	96549
74	7836	96647
75	7945	96600
76	8062	96639
77	8191	96824
78	8312	96908
79	8451	97189
80	8543	96934
81	8567	95919
82	8588	94886
83	8678	94639
84	8770	94407
85	8879	94368
86	9002	94477
87	9115	94471
88	9228	94462
89	9347	94515
90	9478	94676
91	9590	94655
92	9720	94797
93	9829	94740
94	9933	94627
95	10037	94518
96	10158	94572
97	10288	94697
98	10396	94615
99	10472	94248
100	10582	94196
101	10712	94308
102	10822	94254
103	10942	94275
104	11066	94329
105	11179	94283
106	11275	94099
107	11386	94047
108	11506	94060
109	11626	94066
110	11737	94008
111	11863	94062
112	11978	94024
113	12093	93990
114	12215	94009
115	12345	94080
116	12457	94019
117	12562	93897
118	12675	93841
119	12790	93794
120	12911	93794
121	13022	93720
122	13134	93647
123	13240	93535
124	13354	93479
125	13456	93339
126	13572	93296
127	13680	93201
128	13785	93079
129	13882	92904
130	13958	92597
131	14073	92544
132	14190	92505
133	14304	92446
134	14423	92414
135	14464	91892
136	14575	91814
137	14684	91721
138	14806	91713
139	14926	91692
140	15032	91578
141	15103	91257
142	15138	90725
143	15247	90637
144	15360	90576
145	15483	90568
146	15599	90521
147	15717	90481
148	15827	90399
149	15943	90346
150	16062	90312
151	16180	90268
152	16288	90171
153	16392	90052
154	16495	89926
155	16602	89825
156	16712	89734
157	16825	89666
158	16937	89589
159	17042	89475
160	17152	89383
161	17205	88999
162	17320	88939
163	17449	88949
164	17558	88858
165	17662	88736
166	17766	88621
167	17880	88548
168	17997	88496
169	18108	88410
170	18221	88334
171	18330	88240
172	18454	88218
173	18582	88212
174	18705	88181
175	18833	88174
176	18942	88076
177	19046	87954
178	19148	87826
179	19264	87762
180	19365	87625
181	19474	87529
182	19579	87412
183	19701	87373
184	19817	87303
185	19931	87226
186	20044	87144
187	20153	87047
188	20257	86924
189	20359	86796
190	20470	86702
191	20591	86654
192	20705	86578
193	20808	86453
194	20919	86358
195	21036	86291
196	21166	86277
197	21301	86283
198	21430	86258
199	21531	86127
200	21634	85999
201	21746	85911
202	21850	85788
203	21951	85655
204	22054	85526
205	22156	85397
206	22259	85274
207	22363	85153
208	22469	85040
209	22598	85015
210	22714	84937
211	22824	84838
212	22925	84706
213	23022	84558
214	23130	84451
215	23250	84392
216	23359	84289
217	23490	84265
218	23585	84112
219	23702	84034
220	23826	83986
221	23939	83897
222	24040	83765
223	24162	83704
224	24257	83554
225	24356	83417
226	24455	83278
227	24556	83148
228	24656	83012
229	24762	82898
230	24862	82768
231	24961	82630
232	25067	82516
233	25171	82399
234	25275	82280
235	25378	82157
236	25479	82027
237	25582	81905
238	25684	81781
239	25783	81646
240	25881	81510
241	25983	81385
242	26088	81271
243	26194	81159
244	26305	81063
245	26423	80989
246	26528	80872
247	26625	80735
248	26728	80614
249	26824	80472
250	26920	80332
251	27019	80201
252	27114	80056
253	27212	79924
254	27306	79778
255	27401	79634
256	27501	79507
257	27611	79408
258	27717	79299
259	27820	79181
260	27919	79052
261	28021	78929
262	28126	78817
263	28229	78699
264	28330	78577
265	28433	78460
266	28530	78323
267	28627	78190
268	28726	78064
269	28830	77948
270	28954	77888
271	29059	77776
272	29164	77666
273	29268	77550
274	29367	77423
275	29466	77296
276	29566	77171
277	29666	77047
278	29768	76929
279	29871	76812
280	29971	76689
281	30085	76599
282	30193	76497
283	30294	76377
284	30392	76247
285	30485	76107
286	30578	75965
287	30678	75844
288	30779	75723
289	30881	75606
290	30983	75489
291	31079	75357
292	31170	75214
293	31273	75099
294	31378	74989
295	31480	74872
296	31571	74730
297	31669	74604
298	31764	74471
299	31865	74352
300	31979	74263
301	32097	74186
302	32221	74120
303	32350	74065
304	32467	73983
305	32573	73874
306	32681	73773
307	32784	73658
308	32888	73546
309	32971	73388
310	33083	73294
311	33193	73196
312	33319	73133
313	33428	73032
314	33546	72950
